appid,game_name,genres,num_reviews
12210,Grand Theft Auto IV: The Complete Edition,"Action, Adventure",100
239140,Dying Light,"Action, RPG",100
251570,7 Days to Die,"Action, Adventure, Indie, RPG, Simulation, Strategy",100
261550,Mount & Blade II: Bannerlord,"Action, Indie, RPG, Simulation, Strategy",100
304390,FOR HONOR™,Action,100
313120,Stranded Deep,"Adventure, Indie",100
326460,ShellShock Live,"Action, Casual, Indie, Massively Multiplayer, Strategy",100
346010,Besiege,"Indie, Simulation",100
360430,Mafia III: Definitive Edition,"Action, Adventure",100
362890,Black Mesa,"Action, Adventure, Indie",100
383120,Empyrion - Galactic Survival,"Adventure, Indie, Simulation, Strategy",100
393380,Squad,"Action, Indie, Massively Multiplayer, Strategy",100
397540,Borderlands 3,"Action, RPG",100
412020,Metro Exodus,Action,100
424370,Wolcen: Lords of Mayhem,"Action, Adventure, Indie, RPG",100
427520,Factorio,"Casual, Indie, Simulation, Strategy",100
431240,Golf With Your Friends,"Casual, Indie, Sports",100
471710,Rec Room,"Adventure, Casual, Free To Play, Massively Multiplayer",100
493520,GTFO,Action,100
495420,State of Decay 2: Juggernaut Edition,"Action, RPG, Simulation",100
505460,Foxhole,"Action, Indie, Massively Multiplayer, RPG, Strategy",100
526870,Satisfactory,"Adventure, Indie, Simulation, Strategy",100
529340,Victoria 3,"Simulation, Strategy",100
534380,Dying Light 2 Stay Human: Reloaded Edition,"Action, Adventure, RPG",100
544810,KARDS - The WW2 Card Game,"Casual, Free To Play, Indie, Strategy",100
546560,Half-Life: Alyx,"Action, Adventure",100
548430,Deep Rock Galactic,Action,100
552100,Brick Rigs,Simulation,100
553850,HELLDIVERS™ 2,Action,100
573090,Stormworks: Build and Rescue,Simulation,100
602960,Barotrauma,"Action, Indie, Simulation, Strategy",100
611500,Quake Champions,"Action, Free To Play",100
629730,Blade and Sorcery,"Action, Adventure, Indie, RPG, Simulation",100
632360,Risk of Rain 2,"Action, Indie",100
633230,NARUTO TO BORUTO: SHINOBI STRIKER,Action,100
638230,Journey,"Adventure, Indie",100
648800,Raft,"Adventure, Indie, Simulation",100
668580,Atomic Heart,"Action, Adventure, RPG",100
671860,BattleBit Remastered,"Action, Early Access, Massively Multiplayer",100
674020,World War 3,"Action, Free To Play",100
680420,OUTRIDERS,"Action, Adventure, RPG",100
686810,Hell Let Loose,"Action, Indie, Massively Multiplayer, Simulation, Strategy",100
714010,Aimlabs,"Action, Adventure, Casual, Free To Play, Indie, Simulation",100
739630,Phasmophobia,"Action, Early Access, Indie",100
740130,Tales of Arise,"Action, RPG",100
745920,Temtem,"Adventure, Indie, Massively Multiplayer, RPG",100
747660,Five Nights at Freddy's: Security Breach,"Action, Adventure, Indie",100
753640,Outer Wilds,"Action, Adventure",100
766570,Russian Fishing 4,"Adventure, Casual, Free To Play, Massively Multiplayer, RPG, Simulation, Sports",100
782330,DOOM Eternal,Action,100
843380,Super Animal Royale,"Action, Adventure, Casual, Free To Play, Indie, Massively Multiplayer",100
848450,Subnautica: Below Zero,"Adventure, Indie",100
851850,DRAGON BALL Z: KAKAROT,"Action, RPG",100
860510,Little Nightmares II,Adventure,100
870780,Control Ultimate Edition,"Action, Adventure",100
881100,Noita,"Action, Adventure, Indie, RPG, Simulation",100
892970,Valheim,"Action, Adventure, Early Access, Indie, RPG",100
895400,Deadside,"Action, Adventure, Early Access, Indie, Massively Multiplayer",100
899770,Last Epoch,"Action, Adventure, Indie, RPG",100
920210,LEGO® Star Wars™: The Skywalker Saga,"Action, Adventure",100
924970,Back 4 Blood,Action,100
933110,Age of Empires III: Definitive Edition,"Free To Play, Strategy",100
939400,LoveChoice,"Adventure, Indie, RPG, Simulation",100
949230,Cities: Skylines II,Simulation,100
952060,Resident Evil 3,Action,100
955050,Bright Memory,"Action, Adventure, Indie",100
962130,Grounded,"Action, Adventure",100
972660,Spiritfarer®: Farewell Edition,"Adventure, Indie, Simulation",100
990080,Hogwarts Legacy,"Action, Adventure, RPG",100
992300,嗜血印 Bloody Spell,"Action, Adventure, Indie, RPG",100
1030840,Mafia: Definitive Edition,"Action, Adventure",100
1049590,Eternal Return,"Free To Play, Indie, Strategy",100
1057090,Ori and the Will of the Wisps,Action,100
1063730,New World: Aeternum,"Action, Adventure, Massively Multiplayer, RPG",100
1086940,Baldur's Gate 3,"Adventure, RPG, Strategy",100
1089980,The Henry Stickmin Collection,"Adventure, Casual, Indie",100
1091500,Cyberpunk 2077,RPG,100
1092790,Inscryption,"Adventure, Indie, Strategy",100
1097150,Fall Guys,"Action, Casual, Indie, Massively Multiplayer, Sports",100
1113000,Persona 4 Golden,RPG,100
1128810,RISK: Global Domination,"Casual, Free To Play, Strategy",100
1129580,Medieval Dynasty,"Action, Adventure, Indie, RPG, Simulation",100
1135690,Unpacking,"Casual, Indie, Simulation",100
1139900,Ghostrunner,Action,100
1142710,Total War: WARHAMMER III,"Action, Strategy",100
1144200,Ready or Not,"Action, Adventure, Indie",100
1145350,Hades II,"Action, Early Access, Indie, RPG",100
1145360,Hades,"Action, Indie, RPG",100
1149460,ICARUS,"Action, Adventure, Simulation",100
1150690,OMORI,"Adventure, Indie, RPG",100
1151340,Fallout 76,RPG,100
1151640,Horizon Zero Dawn™ Complete Edition,"Action, Adventure, RPG",100
1158310,Crusader Kings III,"RPG, Simulation, Strategy",100
1167630,Teardown,"Action, Indie, Simulation, Strategy",100
1172470,Apex Legends™,"Action, Adventure, Free To Play",100
1172620,Sea of Thieves: 2024 Edition,"Action, Adventure",100
1178830,Bright Memory: Infinite,"Action, Indie",100
1184370,Pathfinder: Wrath of the Righteous - Enhanced Edition,"Adventure, Indie, RPG, Strategy",100
1196590,Resident Evil Village,Action,100
